asset_id,hostname,ip_address,device_type,location
1,carter,203.122.20.248,Switch,Toddstad
2,rich,139.249.196.174,Switch,Amandaberg
3,hill-fisher,138.93.129.200,Server,Lake Amy
4,brown,108.78.34.50,Switch,East Carlmouth
5,martinez,195.100.198.103,Workstation,South Brendastad
6,sanchez,112.68.168.236,Workstation,North Jennifermouth
7,bailey,34.162.34.166,Workstation,East Gary
8,jennings,15.192.91.93,Server,Jamesside
9,best,93.230.128.228,Router,New Paul
10,dudley,74.165.208.25,Server,Robinburgh
11,mcguire,223.241.228.29,Firewall,Jamesborough
12,wood,49.109.252.157,Router,Lake Timothy
13,sims,28.227.186.104,Firewall,Port Danielleberg
14,wilson,22.156.114.22,Router,New Kathleenside
15,webb-garza,155.43.79.232,Switch,Smithburgh
16,green,20.246.35.200,Firewall,New Larry
17,villarreal,25.5.249.92,Server,East Hollymouth
18,ali,26.197.32.50,Server,Port Josephview
19,lopez,133.192.225.55,Server,South Joseph
20,kelly-roth,199.173.192.81,Firewall,Stevenshire
21,smith,209.46.39.250,Switch,Port Dana
22,green-douglas,100.255.238.236,Firewall,East Oscarton
23,mora-bautista,64.199.35.114,Router,Brennanstad
24,fitzgerald-hill,103.26.14.71,Switch,West Brittany
25,sims,188.213.112.78,Router,Grantside
26,williams-williams,55.222.101.59,Switch,Port Roger
27,miller,155.157.82.182,Workstation,New Eric
28,ortega-hood,202.65.50.156,Switch,North Denise
29,hoover,183.6.54.52,Firewall,Saraville
30,weeks,50.214.95.136,Workstation,Justinborough
31,nguyen,23.43.36.174,Workstation,New Stevenchester
32,johnson-hodges,56.92.210.140,Router,Emilyview
33,serrano-martinez,22.15.215.13,Server,Dominguezbury
34,woods-jordan,201.206.54.20,Switch,Robertburgh
35,evans,167.43.111.205,Firewall,North Jamesside
36,gibson-curry,64.100.157.191,Switch,Lindseyview
37,reed,22.119.129.25,Router,South Jonathanport
38,roberts,16.80.88.111,Server,Thomasfort
39,neal-lambert,44.204.184.34,Workstation,New Karen
40,barker,178.163.36.47,Router,Diamondmouth
41,barnes-sanders,177.98.222.254,Firewall,Powellmouth
42,kelly,158.238.1.116,Firewall,Murphytown
43,valdez,13.119.155.109,Workstation,East John
44,bass,209.168.103.75,Firewall,Paulport
45,black,137.97.181.242,Switch,New Curtisberg
46,wolfe,29.135.95.144,Firewall,Colonton
47,campbell-weaver,223.77.170.75,Firewall,Coxport
48,robbins-shaw,100.243.199.14,Workstation,Josephmouth
49,english,174.183.254.236,Workstation,Fowlerton
50,brennan,97.226.16.164,Firewall,Smithchester
