event_id,timestamp,event_type,severity,message,asset_id
1,2025-07-05T20:49:06,malware_alert,4,Antivirus flagged file in Downloads,184
2,2025-07-10T17:56:51,new_mac_seen,2,New MAC address seen on port 3,236
3,2025-07-15T07:36:59,brute_force_detected,5,Multiple failed logins on admin account ID 83,22
4,2025-06-26T21:13:14,new_mac_seen,2,New MAC address seen on port 3,68
5,2025-07-18T20:46:25,phishing_email_received,3,Suspicious email with link received,9
6,2025-07-06T09:52:31,port_scan_detected,4,Multiple ports scanned from external IP,113
7,2025-06-24T17:07:39,port_scan_detected,4,Multiple ports scanned from external IP,22
8,2025-07-10T22:31:37,phishing_email_received,3,Suspicious email with link received,44
9,2025-06-21T16:34:57,process_start,3,Apache process started,290
10,2025-06-25T15:40:08,phishing_email_received,3,Suspicious email with link received,9
11,2025-06-26T18:51:09,config_backup,1,Router configuration backed up,228
12,2025-07-13T11:09:17,port_scan_detected,4,Multiple ports scanned from external IP,204
13,2025-06-20T06:46:06,backup_failure,3,Scheduled backup did not complete,49
14,2025-06-28T05:40:52,login,2,SSH login successful,171
15,2025-07-01T12:24:25,port_scan_detected,4,Multiple ports scanned from external IP,57
16,2025-07-10T22:08:05,port_flapping,3,Link up/down detected on port,138
17,2025-06-24T00:11:24,login,2,User login from internal IP,191
18,2025-07-14T06:02:34,usb_inserted,2,USB storage inserted,58
19,2025-06-27T12:14:24,brute_force_detected,5,Multiple failed logins on admin account ID 12,113
20,2025-07-16T02:42:09,config_backup,1,Router configuration backed up,32
21,2025-06-25T11:15:24,network_connection,2,WAN connection established,256
22,2025-06-29T01:23:21,ddos_detected,5,"Unusual traffic spike, potential DDoS",185
23,2025-06-20T19:25:33,low_toner,1,Printer toner low warning,251
24,2025-06-29T19:53:34,login,2,User login from internal IP,156
25,2025-06-29T12:59:10,network_connection,2,WAN connection established,81
26,2025-06-24T19:59:31,low_toner,1,Printer toner low warning,216
27,2025-07-09T05:18:41,login,1,User login to NAS interface,105
28,2025-07-01T05:18:12,login,1,User login to NAS interface,49
29,2025-07-18T08:11:33,login,2,User login from internal IP,275
30,2025-06-28T02:58:47,login,2,SSH login successful,3
31,2025-07-10T11:41:54,process_start,3,Apache process started,185
32,2025-06-24T12:29:44,print_job,1,Large document sent to printer,13
33,2025-06-29T14:55:48,login,2,User login from internal IP,156
34,2025-07-14T07:51:19,low_toner,1,Printer toner low warning,139
35,2025-06-22T03:06:29,login,3,Admin login to firewall console,64
36,2025-07-09T18:48:32,low_toner,1,Printer toner low warning,69
37,2025-07-02T22:16:51,port_flapping,3,Link up/down detected on port,145
38,2025-07-06T21:40:24,login,1,User login to NAS interface,154
39,2025-06-26T18:56:01,ddos_detected,5,"Unusual traffic spike, potential DDoS",10
40,2025-07-06T18:49:07,port_flapping,3,Link up/down detected on port,152
41,2025-06-20T15:18:26,config_change,3,Firewall rule modified,92
42,2025-06-22T22:37:31,new_mac_seen,2,New MAC address seen on port 3,208
43,2025-06-23T02:39:09,config_backup,1,Router configuration backed up,284
44,2025-07-15T11:14:16,config_backup,1,Router configuration backed up,214
45,2025-06-28T22:18:01,brute_force_detected,5,Multiple failed logins on admin account ID 23,1
46,2025-06-25T02:44:45,login,2,User login from internal IP,247
47,2025-06-28T05:31:10,print_job,1,Large document sent to printer,153
48,2025-06-28T11:19:10,config_change,3,Firewall rule modified,148
49,2025-07-06T22:37:32,port_flapping,3,Link up/down detected on port,299
50,2025-07-05T20:16:38,process_start,3,Apache process started,10
51,2025-07-04T10:24:52,port_scan_detected,4,Multiple ports scanned from external IP,8
52,2025-06-29T09:20:53,login,2,User login from internal IP,275
53,2025-06-29T23:16:14,network_connection,2,WAN connection established,137
54,2025-07-06T08:33:41,usb_inserted,2,USB storage inserted,247
55,2025-07-03T19:38:28,network_connection,2,WAN connection established,39
56,2025-07-07T17:22:40,malware_alert,4,Antivirus flagged file in Downloads,289
57,2025-07-05T06:57:44,phishing_email_received,3,Suspicious email with link received,79
58,2025-07-16T15:29:44,low_toner,1,Printer toner low warning,97
59,2025-07-02T19:58:09,login,2,SSH login successful,283
60,2025-07-15T01:48:08,login,2,User login from internal IP,107
61,2025-06-29T18:43:20,port_flapping,3,Link up/down detected on port,131
62,2025-06-26T17:30:50,phishing_email_received,3,Suspicious email with link received,289
63,2025-07-17T04:46:35,new_mac_seen,2,New MAC address seen on port 3,47
64,2025-07-06T22:55:40,backup_failure,3,Scheduled backup did not complete,49
65,2025-06-25T20:11:02,network_connection,2,WAN connection established,109
66,2025-07-14T09:13:03,print_job,1,Large document sent to printer,251
67,2025-07-06T12:34:23,port_flapping,3,Link up/down detected on port,61
68,2025-07-03T06:17:48,config_change,3,Firewall rule modified,232
69,2025-07-19T07:35:45,phishing_email_received,3,Suspicious email with link received,163
70,2025-07-16T02:35:53,config_backup,1,Router configuration backed up,46
71,2025-07-13T05:15:44,port_scan_detected,4,Multiple ports scanned from external IP,15
72,2025-07-01T09:35:16,port_flapping,3,Link up/down detected on port,61
73,2025-06-21T15:39:01,login,1,User login to NAS interface,56
74,2025-07-17T21:47:21,new_mac_seen,2,New MAC address seen on port 3,222
75,2025-07-04T20:18:01,low_toner,1,Printer toner low warning,251
76,2025-07-01T01:15:44,print_job,1,Large document sent to printer,216
77,2025-06-30T14:52:22,low_toner,1,Printer toner low warning,188
78,2025-07-01T02:31:07,brute_force_detected,5,Multiple failed logins on admin account ID 168,126
79,2025-06-30T01:56:05,port_scan_detected,4,Multiple ports scanned from external IP,15
80,2025-07-09T10:10:16,port_scan_detected,4,Multiple ports scanned from external IP,155
81,2025-06-27T13:59:50,network_connection,2,WAN connection established,18
82,2025-07-01T04:42:13,port_scan_detected,4,Multiple ports scanned from external IP,22
83,2025-06-25T23:14:02,ddos_detected,5,"Unusual traffic spike, potential DDoS",164
84,2025-07-03T11:21:43,brute_force_detected,5,Multiple failed logins on admin account ID 183,17
85,2025-06-29T14:36:15,low_toner,1,Printer toner low warning,76
86,2025-07-16T16:57:00,phishing_email_received,3,Suspicious email with link received,142
87,2025-06-23T07:53:42,new_mac_seen,2,New MAC address seen on port 3,54
