vuln_id,cve_id,description,score,status,discovered_date,fixed_date,asset_id
1,CVE-2003-9256,Realize she military eight away past window.,7,under investigation,2025-01-26 12:10:53,,37
2,CVE-2023-3238,At local church enjoy.,9,open,2023-11-29 09:38:21,,10
3,CVE-2010-5105,Yet evening address member miss evidence direction.,8,open,2024-10-06 14:43:09,2025-03-10 15:29:20,22
4,CVE-2020-7582,Matter she party institution.,9,open,2023-09-06 14:15:25,,12
5,CVE-2003-8162,Produce several health democratic.,9,fixed,2024-04-30 15:16:29,2025-07-05 16:53:04,15
6,CVE-2009-5043,Unit candidate receive.,6,fixed,2024-12-11 06:55:36,2025-07-12 20:10:28,49
7,CVE-2022-2389,Almost ask heavy rock cup continue.,0,fixed,2025-07-01 15:18:54,,35
8,CVE-2008-3144,Stuff get true charge still assume often.,7,fixed,2025-05-02 05:05:22,,21
9,CVE-2004-2996,White image side campaign.,8,under investigation,2024-12-29 08:17:19,,27
10,CVE-2001-1069,Teacher together likely require generation reduce check conference.,7,under investigation,2024-12-31 15:51:24,,19
11,CVE-2009-9941,Thought wife crime doctor spend various.,1,open,2023-07-28 20:21:35,2025-03-29 18:14:39,11
12,CVE-2010-9353,Market fact security room act nearly capital.,9,fixed,2024-02-21 18:06:11,,47
13,CVE-2016-3083,More eat stand training.,2,fixed,2024-02-07 09:21:49,,15
14,CVE-2000-4936,Job own arm old.,1,fixed,2023-09-23 13:47:04,2025-06-13 14:11:51,8
15,CVE-2024-6701,Staff outside sea lose recent leader.,6,under investigation,2025-03-07 21:04:00,,27
16,CVE-2006-9928,Trial woman run political.,2,under investigation,2024-08-20 14:29:38,,22
17,CVE-2003-5920,Mind girl bed bank Republican.,7,open,2024-12-23 01:44:10,,24
18,CVE-2020-1909,Everybody night understand nice firm occur throughout audience.,1,fixed,2025-04-23 21:18:54,2025-06-08 14:32:08,36
19,CVE-2006-9127,Ok increase production.,8,open,2025-06-07 21:06:01,2024-07-23 04:35:50,48
20,CVE-2009-7232,Explain base risk.,2,fixed,2025-02-10 18:28:42,,46
21,CVE-2016-7318,Man good information sound explain condition.,7,open,2025-01-09 10:05:03,2025-02-27 05:10:00,26
22,CVE-2022-8307,Enjoy late pass information fine.,2,under investigation,2025-03-13 00:47:21,2024-09-26 06:34:42,49
23,CVE-2008-7033,Artist main view should star enjoy.,0,under investigation,2024-05-25 09:29:26,,21
24,CVE-2023-9527,Responsibility former analysis she.,4,open,2023-11-15 22:37:09,,34
25,CVE-2008-8896,Reach grow physical skin.,2,fixed,2025-04-18 23:36:37,,18
26,CVE-2010-4149,Specific risk agent type east sister election.,4,open,2024-06-11 07:46:10,,35
27,CVE-2022-3708,Ever box stuff officer increase.,8,under investigation,2024-05-24 08:29:07,,18
28,CVE-2010-7944,Opportunity also step ball measure national power.,4,under investigation,2024-01-21 07:50:26,2024-11-15 05:02:56,38
29,CVE-2001-7012,Difficult deal doctor power reflect over.,0,under investigation,2025-07-09 14:36:20,,50
30,CVE-2005-6099,Team age respond join.,8,under investigation,2025-04-11 07:26:45,,45
31,CVE-2023-9811,Majority open first always nice plant enjoy.,7,open,2024-12-23 09:51:12,,14
32,CVE-2020-8084,Star lot choose watch style night early.,10,under investigation,2023-08-21 17:08:44,,49
33,CVE-2006-4067,Recently measure develop area so head decide.,8,under investigation,2025-05-31 07:47:09,,28
34,CVE-2018-8292,Born if our fire lot.,5,open,2024-02-08 10:28:04,2025-04-25 15:18:18,21
35,CVE-2005-8084,Security letter doctor consider wear.,3,fixed,2023-12-11 20:51:18,2024-08-29 15:50:54,29
36,CVE-2016-1581,Local certain pull number while.,3,under investigation,2025-06-04 11:49:51,2025-06-12 00:11:10,37
37,CVE-2009-7715,Send perhaps tonight economy page character.,2,fixed,2025-04-19 23:31:28,2024-10-30 11:47:43,14
38,CVE-2025-9901,You draw western research thing city concern blood.,7,open,2023-09-08 00:30:08,,37
39,CVE-2001-1787,Into term still discussion man she word.,3,under investigation,2024-06-30 16:09:18,2024-09-08 04:09:43,48
40,CVE-2010-8671,Reason hospital statement off scene reduce right.,10,fixed,2024-09-30 07:48:27,,9
41,CVE-2013-6036,Food whole agreement production might.,6,open,2025-05-05 20:43:53,,39
42,CVE-2001-7835,Approach notice reality remain detail answer.,6,under investigation,2024-08-13 19:31:06,,50
43,CVE-2004-1276,Management beyond stuff down human.,1,under investigation,2023-08-04 20:48:42,2025-02-21 20:50:55,29
44,CVE-2024-1515,Thought there those song.,8,under investigation,2023-10-21 19:05:10,2025-07-02 09:28:51,27
45,CVE-2008-8726,Against determine young leg race happen trip we.,2,fixed,2023-08-15 02:13:07,2024-07-28 04:06:30,32
46,CVE-2020-9083,Public blue idea market southern science under.,3,under investigation,2025-02-11 00:32:33,,7
47,CVE-2004-6117,Fast win seem defense that.,10,under investigation,2024-12-14 19:55:50,2025-04-25 05:42:50,34
48,CVE-2010-4988,Most despite itself particularly without member.,1,fixed,2023-07-14 17:20:48,2024-11-09 05:16:52,18
49,CVE-2012-8805,Hope development full improve travel black.,1,under investigation,2024-01-01 08:23:40,2025-02-07 03:21:39,30
50,CVE-2010-9551,Voice history foot approach event leader.,10,under investigation,2025-04-28 18:41:31,2024-07-14 21:41:45,14
51,CVE-2022-4577,Kitchen second action song skin threat central.,7,open,2024-12-30 11:26:57,,26
52,CVE-2006-6870,Grow film wonder idea on tough important.,9,open,2024-10-10 01:46:19,2024-12-02 23:54:29,25
53,CVE-2009-7732,Offer class through clear.,7,fixed,2025-04-08 11:45:11,2025-06-28 22:52:40,27
54,CVE-2025-1906,But against a wife third seat put.,3,under investigation,2025-04-08 04:04:10,2024-12-23 14:57:52,30
55,CVE-2001-5219,Wish cost girl thing upon behind.,1,under investigation,2025-03-22 18:01:23,2024-08-17 20:25:49,31
56,CVE-2024-3654,Entire catch group never reduce out.,2,fixed,2023-07-28 02:56:37,2024-10-02 02:37:01,28
57,CVE-2025-2116,Style field occur control.,8,fixed,2024-08-19 02:35:26,,18
58,CVE-2011-3609,Land option cup time.,3,fixed,2024-06-06 17:01:15,2025-03-04 15:19:47,43
59,CVE-2015-5095,Heavy through tax too record with.,0,under investigation,2024-03-13 03:47:24,,10
60,CVE-2016-9878,Risk trial company such through challenge push.,7,under investigation,2025-02-26 11:14:22,,14
61,CVE-2004-1798,At news recent another hair better new true.,9,open,2023-08-06 18:19:33,2025-02-03 17:26:48,23
62,CVE-2001-4350,Move beautiful always find your either build.,2,under investigation,2023-09-02 08:30:45,,42
63,CVE-2023-3252,More difference third spend.,6,open,2024-04-28 00:49:20,2024-07-23 22:01:30,24
64,CVE-2017-6103,Value hundred upon significant method surface prepare.,3,fixed,2024-09-29 03:25:17,2025-06-02 21:50:29,31
65,CVE-2013-4215,Rate high science teacher police food.,3,fixed,2023-07-15 10:26:11,2025-03-04 14:00:18,5
66,CVE-2009-4768,Region region star his cost assume.,6,fixed,2024-03-13 22:19:49,2025-04-20 02:16:22,23
67,CVE-2020-7279,Commercial hold garden red teacher prepare after.,8,under investigation,2024-08-03 11:20:09,2025-03-09 09:34:21,11
68,CVE-2000-1180,Cause long someone staff.,6,open,2024-11-23 16:00:22,,18
69,CVE-2025-1980,Single work bring lawyer else wide.,6,under investigation,2025-05-18 08:00:38,,1
70,CVE-2018-8403,Simple moment main through.,1,fixed,2024-11-10 23:04:12,2025-06-12 05:26:13,37
71,CVE-2022-2046,First administration professional area situation.,2,open,2025-04-18 06:10:27,,42
72,CVE-2011-4173,Though base conference nature member brother eight.,9,under investigation,2024-01-19 06:44:12,2024-07-29 23:15:17,7
73,CVE-2008-8001,Food blue book put party into local.,0,open,2024-09-14 03:07:11,2024-11-25 21:24:33,4
74,CVE-2010-7476,Movement modern good range expect drug.,4,under investigation,2024-01-09 06:28:48,,13
75,CVE-2018-1044,Foot head hospital inside.,4,under investigation,2025-03-08 09:00:38,2025-03-05 10:56:46,44
76,CVE-2000-3840,Recognize piece through despite decide public rock.,10,under investigation,2024-07-30 21:27:29,,3
77,CVE-2003-4361,Own generation by work college financial indeed.,8,under investigation,2024-03-30 17:01:47,2025-05-23 13:15:56,8
78,CVE-2021-4480,Head top which whatever.,3,open,2023-10-27 18:14:58,,34
79,CVE-2006-5752,College yard shake argue.,2,fixed,2024-01-03 12:29:41,,17
80,CVE-2015-4252,Thousand painting large organization firm.,4,fixed,2023-12-08 05:44:29,2025-01-13 13:47:03,43
81,CVE-2013-5885,Knowledge member field.,7,fixed,2025-05-07 01:57:13,2024-07-26 11:01:08,41
82,CVE-2024-4028,Learn these raise window economic country most.,2,fixed,2025-03-16 16:54:47,2024-08-12 01:32:05,9
83,CVE-2020-9489,Direction southern door.,8,fixed,2025-02-13 14:12:43,2025-05-06 13:45:32,12
84,CVE-2004-2065,Community form somebody ability car manager send air.,9,under investigation,2025-04-03 18:09:56,2024-09-22 23:34:29,36
85,CVE-2010-3446,Include send seem.,0,open,2023-12-13 20:46:21,2025-05-27 14:38:11,3
86,CVE-2021-1481,Serve learn same.,4,fixed,2025-03-13 16:42:17,2024-12-17 14:13:20,7
87,CVE-2018-7789,Market author itself fear maybe.,0,fixed,2024-01-27 11:56:58,2024-10-06 23:54:40,33
88,CVE-2012-6966,Up including carry ahead within.,5,fixed,2024-01-17 02:04:37,,49
89,CVE-2014-2590,Week find list gas wall.,8,open,2023-10-06 16:14:11,,1
90,CVE-2023-8742,Believe message common seek away attorney clearly.,7,open,2025-06-21 12:53:46,,24
91,CVE-2011-1863,Hair time enough order choose.,9,under investigation,2024-02-17 20:34:35,2025-04-28 06:09:05,40
92,CVE-2022-9440,Decade push I air debate.,8,open,2023-09-02 04:46:06,,32
93,CVE-2008-4917,Field foot ok without.,2,open,2025-05-11 16:28:56,,39
94,CVE-2025-8571,Rest property moment.,3,under investigation,2024-06-12 15:35:52,2024-08-16 02:36:37,46
95,CVE-2025-2289,You expert everyone into.,9,fixed,2024-05-05 18:46:23,,28
96,CVE-2013-5528,Other while until.,10,fixed,2024-03-10 04:20:25,2025-06-19 08:42:32,22
97,CVE-2021-6384,Top vote American great himself.,1,under investigation,2025-01-09 17:27:03,2025-04-28 18:54:02,49
98,CVE-2023-2040,Blood institution him.,6,open,2023-12-05 21:20:04,2025-05-27 02:29:57,20
99,CVE-2006-1715,Part traditional concern like place.,10,under investigation,2025-04-10 12:50:03,2025-02-23 07:29:28,14
100,CVE-2025-9341,End he represent truth identify city way able.,5,under investigation,2024-10-02 17:00:37,,49
